Mon Jan 30 7:16:34 BOT 2012: Busqueda Inteligente: resultados >104111
Mon Jan 30 9:42:56 BOT 2012: Busqueda Inteligente: Resultado 
 133883;Bleeding Heart;Jimi Hendrix;Wisin y Yandel Regalo 2x1
113030;Blooming 2 Tigre 0;Hernan Sillero;Goles
144678;Broken Bottles Form A Star ;Snow Patrol;Pop
102994;Camba1;Charles Suarez;Latinas
102995;camba2;Charles Suarez;Latinas
102996;Camba3;Charles Suarez;Latinas
102790;Can You Hear Me;Enrique Iglesias;Enrique Inglesias
309;Caporales San Simon;Llajtaymanta;Carnaval
132110;Come N Go Ft Enrique Iglesias;Pitbull;Reggaeton
130816;Como te voy a olvidar;Los Angeles Azules Opratel;Mi Promo ConTigo
109915;cuando me enamoro;Enrique Iglesias feat Juan Luis Guerra;TOP 5
106005;Cuando me enamoro-;Enrique Iglesias feat Juan Luis Guerra;TOP 5
105613;cuanto cuestas cuanto vales;BANDAS;Carnaval
104610;Debia ser amor;ISA;Infantiles
102813;Desnudos;Los Internacionales;Latinas
102638;Dimelo;Enrique Iglesias;Enrique Inglesias
103623;Dimelo promo;Enrique Iglesias;Enrique Inglesias
136047;Dirty Dancer;Enrique Iglesias;Pop
133408;Dirty Dancer;Enrique Iglesias;Latinas
102791;Do You Know;Enrique Iglesias;Enrique Inglesias
102626;Donde Estan Corazon;Enrique Iglesias;Enrique Inglesias
102978;donde estan corazon2;Enrique Iglesias;Enrique Inglesias
102890;donde estan corazon_rmx2;Enrique Iglesias;Enrique Inglesias
103640;Donde Estas Corazon ;Enrique Iglesias;Enrique Inglesias
102793;Dont turn off the light;Enrique Iglesias;Enrique Inglesias
102802;Dont You Forget About Me;Enrique Iglesias;Enrique Inglesias
574;Dont you know;Enrique Iglesias;Enrique Inglesias
103768;dooup;ElencoHighSchoolMusical;Infantiles
103762;E ACORDARAS DE MI;Los angeles de charlie;Latinas
130815;El liston de tu pelo;Los Angeles Azules Opratel;Mi Promo ConTigo
103875;El Regalo Celestial;Yoly Rodriguez;Navidad
104973;Ella tiene un amor;ISA;Infantiles
102627;Enamorado Por Primera Vez;Enrique Iglesias;Enrique Inglesias
102794;escape;Enrique Iglesias;Enrique Inglesias
103642;Esperanza;Enrique Iglesias;Enrique Inglesias
136046;Everythings Gonna Be Alright;Enrique Iglesias;Pop
102628;Experiencia Religiosa;Enrique Iglesias;Enrique Inglesias
102572;Fluorescent Adolescent;Toing;Latinas
103099;god;Faithless;Pop
133850;Gol de Aguero Argentina 1 a Bolivia 1;Radio Noticia la Red;Goles
127924;Gol de Boyero Blooming 2 a Oriente P 1;Radio Noticia la Red;Goles
132003;Gol de Edivaldo Bolivia 1 a Argent 
Mon Jan 30 9:52:59 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 9:57:29 BOT 2012: Ajax-> Mostrar Megusta> tono:135156 
Mon Jan 30 9:58:03 BOT 2012: Ajax->Mostrar Nombre Artista:  
Mon Jan 30 9:58:18 BOT 2012: Busqueda Inteligente: resultados >103211
Mon Jan 30 10:02:51 BOT 2012: Ajax-> Mostrar Ranking > tono:142927 
Mon Jan 30 10:03:42 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:131841 
Mon Jan 30 10:18:11 BOT 2012: Busqueda Inteligente: Resultado 
 103991;A Manos Llenas;Alejandro Fernandez;Latinas
103224;Amor gitano;Alejandro Fernandez;Latinas
103671;AmorGitano;Alejandro Fernandez;Latinas
104312;Bandera De Manos;Juanes;Latinas
105075;En la Disco -Studio-;Tito el Bambino y Olga Tanon;Reggaeton
105527;Levantando-Las-Manos;Mike Suarez;Salsa y Merengue
134009;Ole  ;Gitanos;Latinas
129929;Sin Ti;Gitanos;Latinas
103079;libidinoso;Amandititita;Latinas
105073;Baila sexy;Tito el Bambino;Reggaeton
103595;AcaEntreNOs;Vicente Fernandez;Rancheras
129920;Yo Soy Tu DJ;Zion and Lennox;Latinas
102522;Yo soy tu gatita;Banda reggaeton;Reggaeton
103320;Boricua morena dominicano;Banda reggaeton;Reggaeton
103823;Agarrense de las manos;Version Opratel;Latinas
104926;Agente 86 y los enanos;Version Opratel;Sonidos
106380;alcoholicos anonimos.;Chaplin Show;Chaplin Show
102694;Alza Las Manos;Damas gratis;Cumbia
136630;Alzare mis manos;Alianza Nueva;Cristianas
124243;Carnaval tigo;telecel;Backtones de 2 Bolivianos
123530;Colombiano verdes;Pablo Fernandez;Pablo Fernandez
127472;Con Manos VacÃ­as;Jesus Adrian Romero;Cristianas
104556;Con manos vacias;Jesus A Romero;Cristianas
104519;Cumpleanos;Wazzup;Sonidos
104511;Cumpleanos Feliz;Jardin Unicornio;Sonidos
126468;Duerme Negrito;Bahiano;Latinas
126469;El Burrito;Bahiano;Latinas
102847;Elena No;Los Enanos;Latinas
103181;en las manos de dios;Nelly Furtado;Latinas
104082;Homero te canta el feliz cumpleanos;Opratel;Chistes
135283;LÃ¡rgate;Hermanos Yaipen Opratel;Cumbia
104784;Levantas mis manos;Grupo Renacer;Cristianas
104263;Levanten las manos;La Rama;Latinas
105084;Manos al aire;Nelly Furtado;Latinas
102597;MUSICA CLASICA01;Anonimo;Clasicos
102596;MUSICA CLASICA02;Anonimo;Clasicos
102595;MUSICA CLASICA03;Anonimo;Clasicos
102594;MUSICA CLASICA04;Anonimo;Clasicos
102593;MUSICA CLASICA05;Anonimo;Clasicos
105003;O que vai ser de nos;Zeze de Camargo e Luciano; Brasileras
135285;Ojala que te mueras;Hermanos Yaipen Opratel;Cumbia
103582;Palito bombon enano;Los Grosos;Latinas
142115;Pie Mano ft Los Parte Discotekas;Wachiturros;Cumbia
124967;Quien nos dijo;Luciano Pereyra;Latinas
105074;Te extrano;Tito el Bambino;Reggaeton
135286;Tendria que llorar por ti;Hermanos Yaipen Opratel;Cumbia
106266;Tigo Cumbia;telecel;Backtones de 2 Bolivianos
135723;Ya me aleje del amor;Hermanos Yaipen Opratel;Cumbia
105346;I Like It Rough (Non-LP Version);Lady Gaga;Pop
105564;cantos vallegrandinos;BANDAS;Carnaval
102599;Esta noche mando yo;Cosa Nostra;Latinas
105410;Grito de terror;Blue Caps Tonos;Sonidos
104002;Nos Estorbo La Ropa;Vicente Fernandez;Rancheras
110195;nose que paso;New Bolivia band;Nuevas
103990;OJITOS TIERNOS;MEZGAYA;Latinas
103660;Reynosa;Emilio Fernandez;ibiza open tour
105413;Risa y gritos de terror;Blue Caps Tonos;Sonidos
107799;Sebas Estas llamando a la chica de tus suenos-MTV ISA TKM;MTV;MTV
105588;vallegrandinos;BANDAS;Carnaval
110204;yo nose mañana;New Bolivia band;Nuevas
110206;yo nose mañana intro;New Bolivia band;Nuevas
556;Sexy movimiento;Wisin y Yandel;Reggaeton
526;Sexy movimiento..;Banda reggaeton;Reggaeton
104190; Canita Canaveral;Banda Juventud Centralistas de La Paz;Carnaval
104172; La Brujita;Banda Poopo;Carnaval
102622; Permitame;Wisin y Yandel;Reggaeton
105534; Sexo Seguro; Yandel-Franco "El Gorilla";Latinas
104165; Soy Tarateno;Banda Poopo;Carnaval
107794;-Rey Tu Credito se esta agotando-MTV ISA TKM;MTV;MTV
142912;Adornando El Arbolito;opratel;Navidad
105652;Al ritmo de la musica;Andy Aguilera;Latinas
105746;-You know me;Version Opratel;Latinas
103898;Destination Unknown;Version Opratel;Pop
102791;Do You Know;Enrique Iglesias;Enrique Inglesias
103014;does your mother know;Mama mia;Latinas
137276;Dont Know Nothing;Maroon5;Pop
574;Dont you know;Enrique Iglesias;Enrique Inglesias
104799;I Need To Know;Marc Anthony;Marc Anthony
104950;KNOW YOUR ENEMY;Toing;Rock
127900;Mamma Knows Best;Jessie J;Pop
105037;You Know I want You vRemix;Version Opratel;Latinas
134175;You Know Im No Good;Amy Winehouse;Pop
105068;Agarrala -;Tito el Bambino;Tito el Bambino
104193;Ay Rosita;Banda Juventud Centralistas de La Paz;Carnaval
105273;Ayo technology (Album Version (Explicit));50 cent;Hip hop
138876;Bailando Por El Mundo Ft Pitbull;Juan Magan;Reggaeton
138887;Bailando Por El Mundo Ft Pitbull;Juan Magan;Reggaeton
122656;Noche de sexo;Qmbia Juan;Cumbia
112706;Sexo en la disco ;Dyland Lenny;Reggaeton
127767; 
Mon Jan 30 10:19:11 BOT 2012: Busqueda Inteligente: resultados >240
Mon Jan 30 10:19:56 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 10:21:54 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 10:22:27 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 10:24:42 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:25 
Mon Jan 30 10:25:30 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:141918 
Mon Jan 30 10:26:36 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.802568 seg.
Mon Jan 30 10:28:22 BOT 2012: Ajax-> Mostrar  Imagen Portada> tono:106382 
Mon Jan 30 10:28:28 BOT 2012: Ajax-> Mostrar Megusta> tono:142927 
Mon Jan 30 10:30:37 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.005392 seg.
Mon Jan 30 10:31:10 BOT 2012: Ajax-> Mostrar Comentarios> tono:117841 
Mon Jan 30 10:31:55 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 10:32:19 BOT 2012: Ajax-> Mostrar Megusta> tono:122287 
Mon Jan 30 10:34:01 BOT 2012: Asignar backtone escuchado > Asi termino:104158,132461,128239,114601,144113,144114,114591,104180,124243,106266,142919,142918,144234,144195,144181,144170,144155,142927,142926,
Mon Jan 30 10:37:47 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 10:38:20 BOT 2012: Busqueda Inteligente: resultados >138286
Mon Jan 30 10:39:20 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.005927 seg.
Mon Jan 30 10:40:18 BOT 2012: Ajax-> Mostrar  Genero > G&eacute;nero:  <a href='index.php?seccion=playlist&genero=171'>Mi Promo ConTigo</a>
Mon Jan 30 10:42:33 BOT 2012: Ajax->Mostrar Ranking:  
Mon Jan 30 10:45:00 BOT 2012: Ajax-> Mostrar Ranking > tono:103460 
Mon Jan 30 10:48:52 BOT 2012: Mostrar Cantidad reproducciones: tono:107763 cantidad: 0
Mon Jan 30 10:49:37 BOT 2012: Asignar backtone escuchado > Asi termino:140821,142923,136644,136639,136637,136636,144150,
Mon Jan 30 10:51:20 BOT 2012: Error al consultar precio de renovacion - msisdn: tono:560 - Async responde -3
Mon Jan 30 10:53:41 BOT 2012: Ajax-> Mostrar Ranking > tono:104643 
Mon Jan 30 10:54:23 BOT 2012: Ajax->Mostrar Comentarios:  
Mon Jan 30 10:54:53 BOT 2012: Ajax-> Mostrar Megusta> tono:103111 
Mon Jan 30 10:57:48 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 10:58:18 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:105534 
Mon Jan 30 11:00:36 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 12:18:13 BOT 2012: Ajax-> Mostrar Megusta> tono:125517 
Mon Jan 30 12:18:37 BOT 2012: Ajax->Mostrar Nombre Artista:  
Mon Jan 30 12:19:08 BOT 2012: Ajax->Mostrar Nombre Artista:  
Mon Jan 30 12:19:50 BOT 2012: WEB_REPRODUCIR_BUSQUEDA > Se recibieron:6 tonos
Mon Jan 30 12:20:05 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.100179 seg.
Mon Jan 30 12:20:48 BOT 2012: Busqueda Inteligente: resultados >126991
Mon Jan 30 12:21:56 BOT 2012: Ajax->Mostrar Nombre Genero:  
Mon Jan 30 12:22:14 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 12:22:17 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 12:22:23 BOT 2012: Ajax-> Mostrar Ranking > tono:121501 
Mon Jan 30 12:22:32 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.0075620000000001 seg.
Mon Jan 30 12:25:05 BOT 2012: Ajax->Mostrar Imagen Portada:  
Mon Jan 30 12:25:29 BOT 2012: Asignar backtone escuchado > Asi termino:126999,126996,126994,104178,102622,105534,136258,136050,104901,126679,128297,127003,104430,126683,126681,104195,102630,104305,103521,
Mon Jan 30 12:26:00 BOT 2012: Ajax-> Mostrar Ranking > tono:133826 
Mon Jan 30 12:26:45 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.062813 seg.
Mon Jan 30 12:29:42 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.00505 seg.
Mon Jan 30 12:35:40 BOT 2012: Check Session > msisdn: 76440549 > Usuario Valido 
Mon Jan 30 12:36:07 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.327749 seg.
Mon Jan 30 12:38:22 BOT 2012: Session Start>  session por defecto 
Mon Jan 30 12:39:58 BOT 2012: Asignar backtone escuchado > Asi termino:105073,
Mon Jan 30 12:43:26 BOT 2012: Ajax->Mostrar Comentarios:  
Mon Jan 30 12:43:59 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.185285 seg.
Mon Jan 30 12:44:47 BOT 2012: MTD_DB_BUSCAR_ARTISTAS > retornando registros:38
Mon Jan 30 12:46:21 BOT 2012: Consulta de precio de reason:3 - msisdn: tono:103342 Async responde:350
 
Mon Jan 30 12:46:40 BOT 2012: Ajax-> Mostrar Ranking > tono:144562 
Mon Jan 30 12:47:13 BOT 2012: Ajax->Mostrar Comentarios:  
Mon Jan 30 12:47:43 BOT 2012: Asignar backtone escuchado > Asi termino:246,448,102650,102693,103342,104393,240,
Mon Jan 30 12:48:25 BOT 2012: Ajax->Mostrar Nombre Artista:  
Mon Jan 30 12:48:46 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.007289 seg.
Mon Jan 30 12:51:49 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.613489 seg.
Mon Jan 30 12:52:38 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.006385 seg.
Mon Jan 30 12:53:29 BOT 2012: WEB REPROD BUSQ > Facebook link: http%3A%2F%2Fbacktones.tigo.com.bo%2Fv3%2Findex.php%3Fseccion%3Dplaylist%26autor%3D1132%26f%3D1%26t%3D1231233
Mon Jan 30 12:53:29 BOT 2012: Mostrar Genero: >G&eacute;nero:  <a href='index.php?seccion=playlist&genero=102'>Chistes</a>
Mon Jan 30 12:55:02 BOT 2012: Ajax->Mostrar Megusta:  
Mon Jan 30 12:55:20 BOT 2012: Ajax->Mostrar Reproducciones:  
Mon Jan 30 12:55:56 BOT 2012: Mostrar Megusta> tono: 126142 msisdn: > 001
Mon Jan 30 13:25:17 BOT 2012: Ajax-> Mostrar  Nombre Genero > tono:123542 
Mon Jan 30 13:25:32 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.005509 seg.
Mon Jan 30 13:25:47 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.589745 seg.
Mon Jan 30 13:26:23 BOT 2012: Ajax-> Mostrar  Nombre Genero > tono:141113 
Mon Jan 30 13:30:23 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.151641 seg.
Mon Jan 30 13:30:23 BOT 2012: Consulta de precio de reason:2 - msisdn: tono:112706 Async responde:350
 
Mon Jan 30 13:30:23 BOT 2012: Asignar backtone escuchado > Asi termino:123541,123527,123513,123538,131040,123540,123515,123528,131730,123530,123525,131042,123518,123531,123519,131049,131035,131036,123534,123520,
Mon Jan 30 13:31:35 BOT 2012: Ajax-> Mostrar  Nombre Genero > tono:105096 
Mon Jan 30 13:33:06 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.114512 seg.
Mon Jan 30 13:33:06 BOT 2012: Ajax->Mostrar Ranking:  
Mon Jan 30 14:47:26 BOT 2012: Busqueda Inteligente: resultados >144171
Mon Jan 30 14:47:41 BOT 2012: Ajax-> Mostrar Ranking > tono:131722 
Mon Jan 30 14:49:36 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.007529 seg.
Mon Jan 30 14:49:57 BOT 2012: Busqueda Inteligente: resultados >105344
Mon Jan 30 14:50:21 BOT 2012: Ajax->Mostrar Comentarios:  
Mon Jan 30 14:51:06 BOT 2012: Asignar backtone escuchado > Asi termino:129934,129259,129257,129255,129253,129251,129936,
Mon Jan 30 14:52:51 BOT 2012: Busqueda Inteligente: ser recibieron 86 resultados
Mon Jan 30 14:54:46 BOT 2012: Busqueda Inteligente: resultados >103472
Mon Jan 30 14:55:07 BOT 2012: Ajax-> Mostrar Comentarios> tono:123518 
Mon Jan 30 14:55:16 BOT 2012: Ajax-> Mostrar Comentarios> tono:129936 
Mon Jan 30 14:55:22 BOT 2012: Ajax-> Mostrar  Nombre Artista > tono:137253 
Mon Jan 30 14:55:31 BOT 2012: DB_LISTAR_TONOS> Se econtraron 114 resultados con estos ID:257,104171,104174,104508,102610,105276,104190,104510,104177,105096,104180,104522,104507,105036,104189,104178,105282,105274,103521,104991,103939,104172,104528,104305,102630,105533,104195,104532,104533,103940,104184,104535,102622,105534,104165,104175,104547,104173,104179,102621,103430,104447,107763,103284,106298,103453,106286,106288,103328,106289,106299,104383,103451,106290,107788,107794,106294,106295,107737,105746,144149,509,109409,276,103793,103748,103790,103469,103475,103479,103478,103476,103477,103480,103470,103471,103474,103472,103473,103466,103464,105422,103533,103750,102646,102560,108557,136251,335,102639,104220,103767,109227,105281,104183,105986,103821,126476,577,104676,104967,110495,103113,103114,129924,128602,386,322,604,84,131819,144104,102882,103838, 
Mon Jan 30 14:56:01 BOT 2012: Busqueda Inteligente: resultados >142184
Mon Jan 30 14:56:25 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.410484 seg.
Mon Jan 30 14:57:34 BOT 2012: ASYNC -> STATS> Tiempo respuesta 0.203755 seg.
Mon Jan 30 14:57:37 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.352195 seg.
Mon Jan 30 15:21:22 BOT 2012: Ajax->Mostrar Ranking:  
Mon Jan 30 15:51:15 BOT 2012: Ajax-> Mostrar  Nombre Genero > tono:134686 
Mon Jan 30 15:53:55 BOT 2012: Consulta de precio de reason:3 - msisdn: tono:105652 Async responde:350
 
Mon Jan 30 15:56:34 BOT 2012: ASYNC -> STATS> Tiempo respuesta -0.233998 seg.
Mon Jan 30 15:57:52 BOT 2012: Asignar backtone escuchado > Asi termino:141881,142527,
Mon Jan 30 15:58:49 BOT 2012: Consulta de precio de reason:2 - msisdn:76299295 tono:103628 Async responde:350
 
Mon Jan 30 16:00:20 BOT 2012: Ajax->Mostrar Ranking:  
Mon Jan 30 16:01:35 BOT 2012: Busqueda Inteligente: Resultado 
 125490;Vamo a portarnos mal;Calle13;Reggaeton
131643;Comportarme;Tony Dize;Latinas
104351;Insoportablemente Bella;Emanuel;Latinas
135223;No importa;L. Goodman;Cristianas
103592;SoloImportas;fRANCO dE vITA;Latinas
120243;Transtorno bipolar ;Porta;HipHop
103991;A Manos Llenas;Alejandro Fernandez;Latinas
103691;Abriendo Caminos;Diego Torres;Latinas
103595;AcaEntreNOs;Vicente Fernandez;Rancheras
103823;Agarrense de las manos;Version Opratel;Latinas
104926;Agente 86 y los enanos;Version Opratel;Sonidos
102694;Alza Las Manos;Damas gratis;Cumbia
136630;Alzare mis manos;Alianza Nueva;Cristianas
105406;ataque de tiburon;Blue Caps Tonos;Sonidos
105407;Aullido y pasos de terror;Blue Caps Tonos;Sonidos
104312;Bandera De Manos;Juanes;Latinas
104514;Buenos Dias Senor Sol;Marta Harte;Sonidos
103083;Bunos aires en llamas;Ataque77;Latinas
105564;cantos vallegrandinos;BANDAS;Carnaval
124243;Carnaval tigo;telecel;Backtones de 2 Bolivianos
105565;Chabacanos;Azul azul;Carnaval
127472;Con Manos VacÃ­as;Jesus Adrian Romero;Cristianas
104556;Con manos vacias;Jesus A Romero;Cristianas
105408;Cueva del terror;Blue Caps Tonos;Sonidos
104519;Cumpleanos;Wazzup;Sonidos
104511;Cumpleanos Feliz;Jardin Unicornio;Sonidos
102598;El tiempo ha pasado;Cosa Nostra;Latinas
102847;Elena No;Los Enanos;Latinas
103181;en las manos de dios;Nelly Furtado;Latinas
105409;Enseguida te atiendo el telefono;Blue Caps Tonos;Sonidos
104796;Escapemonos;Marc Anthony;Marc Anthony
102599;Esta noche mando yo;Cosa Nostra;Latinas
105410;Grito de terror;Blue Caps Tonos;Sonidos
105411;Hola de terror;Blue Caps Tonos;Sonidos
104564;Homero los ninos y la iglesia;Version Opratel;Sonidos
104082;Homero te canta el feliz cumpleanos;Opratel;Chistes
102600;La ciudad final;Cosa Nostra;Latinas
104020;La pinta es lo de menos;Azul azul;AZUL AZUL
135283;LÃ¡rgate;Hermanos Yaipen Opratel;Cumbia
105527;Levantando-Las-Manos;Mike Suarez;Salsa y Merengue
104784;Levantas mis manos;Grupo Renacer;Cristianas
104263;Levanten las manos;La Rama;Latinas
103079;libidinoso;Amandititita;Latinas
105084;Manos al aire;Nelly Furtado;Latinas
129248;Mi Buenos Aires Querido;Carlos Gardel;Latinas
102748;Nos destruiran a todos;Mbarete;Sonidos
387;Nos Enamoramos;Agrupacion marilyn;Cumbia
104002;Nos Estorbo La Ropa;Vicente Fernandez;Rancheras
109743;nos falta locura;Alberto Plaza;Latinas
110195;nose que paso;New Bolivia band;Nuevas
103272;NoSeSiEsAmor;Reik;Latinas
104414;Nosotros Live;Babasonicos;Latinas
105003;O que vai ser de nos;Zeze de Camargo e Luciano; Brasileras
135285;Ojala que te mueras;Hermanos Yaipen Opratel;Cumbia
103990;OJITOS TIERNOS;MEZGAYA;Latinas
134009;Ole  ;Gitanos;Latinas
103135;pinguinos en la cama;Ricardo Arjona;RICARDO ARJONA
103454;Por Conocerte En Vivo En Buenos Aires;Rojo;Latinas
105412;Puerta del terror;Blue Caps Tonos;Sonidos
102601;Que bueno el sol;Cosa Nostra;Latinas
124967;Quien nos dijo;Luciano Pereyra;Latinas
103660;Reynosa;Emilio Fernandez;ibiza open tour
105413;Risa y gritos de terror;Blue Caps Tonos;Sonidos
105773;Se nos muere el amor;Ricardo Arjona;RICARDO ARJONA
107799;Sebas Estas llamando a la chica de tus suenos-MTV ISA TKM;MTV;MTV
103237;Si nos quedara poco tiempo;Chayanne;Latinas
105414;Sierra electrica del terror;Blue Caps Tonos;Sonidos
103295;Signos;Soda Stereo;Latinas
129929;Sin Ti;Gitanos;Latinas
117859;Suenos ardientes;Play Boy;Play Boy
135711;Te Echo De Menos;Chayanne;Latinas
135286;Tendria que llorar por ti;Hermanos Yaipen Opratel;Cumbia
106266;Tigo Cumbia;telecel;Backtones de 2 Bolivianos
295;Una calle nos separa;Dante;Super Promo
105588;vallegrandinos;BANDAS;Carnaval
104506;Vengan Ninos;Cuenta Cuentos;Sonidos
135723;Ya me aleje del amor;Hermanos Yaipen Opratel;Cumbia
110204;yo nose mañana;New Bolivia band;Nuevas
110206;yo nose mañana intro;New Bolivia band;Nuevas
105040;A Quien Le Importa;Covertone;Latinas
127561;  CONTENIDO PUBLICITARIO;KARAOKE;KARAOKE
104171; A la Bim Bom Bam_;Banda Poopo;Carnaval
104174; Ananau;Banda Poopo;Carnaval
104508; Arroz Con Leche;Jardin Unicornio;Sonidos
139516; AVV_26DEOCT2011_17_CANCION;KARAOKE;KARAOKE
102610; Back To Black;Amy Winehouse;Pop
105276; Beautiful;Eminem;HipHop
104190; Canita Canaveral;Banda Juventud Centralistas de La Paz;Carnaval
104510; Chiquillada V2;Jardin Unicornio;Sonidos
104177; Chirapas;La Banda de Perucho;Carnaval
105096; Como pude amarla;Covertone;Latinas
104180; Desde Santa Cruz;Pan de Arroz;Carnaval
104522; Donde esta el telefono;Wazzup;Sonidos
104507; Dormite Tranquilo;Claudio Taddei;Sonidos
105036; El amor v2;Version Opratel;Super Promo
104189; El Tio;Banda Juventud Centralistas de La Paz;Carnaval
104178; En Las Playas Del Beni;La Banda de Perucho;Carnaval
105282; Escaleras De Arena;Paulina Rubio;Latinas
105274; Get up;50 cent;Hip hop
103521; Gol de Vieira Blooming 2 a Oriente 3;Vieira;FANATIGO
127558; GRABACION DEFECTUOSA	  NO SE ENTIENDE O NO SE ESCUCHA CLARO;KARAOKE;KARAOKE
104991; I Found That Girl (Chorus;Jackson 5;Pop
103939; Jingle Bells;Moderatto;Navidad
104172; La Brujita;Banda Poopo;Carnaval
104528; La Fotografia;Wazzup;Sonidos
104305; La peguita;Aldo Penha;Carnaval
108760; LCM_26DEJUNIO_3_SALUDOS;KARAOKE;KARAOKE
102630; Lloro Por Ti;Enrique Iglesias;Enrique Inglesias
105533; Me gustas mucho;Toing;Latinas
104195; Mi Fiel Promesa;Banda Juventud Centralistas de La Paz;Carnaval
104532; My Religion;Wazzup;ibiza open tour
104533; No Desesperes;Wazzup;Sonidos
103940; Noche De Paz;Moderatto;Navidad
104535; Perez;Wazzup;Sonidos
102622; Permitame;Wisin y Yandel;Reggaeton
105534; Sexo Seguro; Yandel-Franco "El Gorilla";Latinas
104165; Soy Tarateno;Banda Poopo;Carnaval
104175; Tahichi Aguilera;La Banda de Perucho;Carnaval
104547; Te van a contestaR;Wazzup;Sonidos
